Country,Subject Descriptor,Units,Scale,Country/Series-specific Notes,2015,2016,2017,2018,2019,2020,2021,2022,Estimates Start After
Afghanistan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",19.687,18.886,20.57,21.706,23.233,24.93,26.857,29.113,2014
Albania,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",11.393,12.126,12.294,12.92,13.838,14.87,15.932,17.141,2015
Algeria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",164.779,160.784,173.947,177.682,181.891,187.567,194.882,202.242,2015
Angola,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",102.962,95.821,122.365,134.305,138.18,142.733,147.525,150.23,2015
Antigua and Barbuda,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",1.353,1.398,1.454,1.514,1.578,1.646,1.716,1.79,2016
Argentina,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",631.621,545.124,628.935,658.129,711.893,775.217,840.353,908.327,2016
Armenia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",10.529,10.499,10.741,11.215,11.778,12.369,13.041,13.858,2015
Australia,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).","1,229.71","1,258.98","1,359.72","1,427.82","1,497.52","1,568.06","1,636.25","1,709.81",2016
Austria,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",377.157,386.752,383.509,395.902,409.205,422.657,434.815,446.048,2016
Azerbaijan,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",50.818,37.556,38.583,41.961,45.553,48.823,53.589,58.456,2016
The Bahamas,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",8.854,8.939,9.172,9.529,9.897,10.251,10.55,10.827,2015
Bahrain,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",31.119,31.907,34.31,35.704,36.824,38.201,39.679,41.148,2015
Bangladesh,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",206.684,227.901,248.853,272.336,297.573,324.861,354.548,386.947,2015
Barbados,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",4.422,4.588,4.759,4.966,5.171,5.363,5.562,5.77,2015
Belarus,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",56.329,48.847,54.689,56.603,58.171,60.357,62.373,65.084,2015
Belgium,"Gross domestic product, current prices",U.S. dollars,Billions,"See notes for:  Gross domestic product, current prices (National currency).",455.336,466.96,462.715,476.135,491.686,508.55,525.121,540.852,2015
